"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"12/30/2021","TIN ROOF NASHVILLE","TIN ROOF NASHVILLE","36.00","debit","Alcohol & Bars","CREDIT CARD","",""
"12/30/2021","TIN ROOF NASHVILLE","TIN ROOF NASHVILLE","12.00","debit","Alcohol & Bars","CREDIT CARD","",""
"12/30/2021","DEMONBREUN PARKING","DEMONBREUN PARKING","6.00","debit","Fun","CREDIT CARD","",""
"1/01/2001","American Wager William","AMERICAN WAGER WILLIAM TN","236.00","credit","Credit Card Payment","LIFEGREEN CHECKING F","",""
"1/01/2001","METRO WATER UT BILL","METRO WATER UT BILL","21.63","debit","Utilities","LIFEGREEN CHECKING F","",""
"1/01/2001","Netflix","Netflix.com 12300655 1253","9.84","debit","Subscriptions","LIFEGREEN CHECKING F","",""
"1/01/2001","Dollar Shave Club","DOLLARSHAVECLUB 12091935 1253","4.37","debit","Subscriptions","LIFEGREEN CHECKING F","",""
"1/01/2001","Spotify","SPOTIFY USA 12041837 1253","10.94","debit","Subscriptions","LIFEGREEN CHECKING F","",""
"12/31/2021","American Wager William","AMERICAN WAGER WILLIAM TN WEST","236.00","credit","Credit Card Payment","LIFEGREEN CHECKING F","",""
"12/31/2021","Netflix","Netflix.com 4899 408-5403700 C","9.84","debit","Subscriptions","LIFEGREEN CHECKING F","",""
"12/31/2021","CHASE CREDIT CRD EPAY CARSON W","CHASE CREDIT CRD EPAY CARSON W","491.80","debit","Credit Card Payment","LIFEGREEN CHECKING F","",""
"12/30/2021","Payment Thank You-Mobile","Payment Thank You-Mobile","491.80","credit","Credit Card Payment","CREDIT CARD","",""
"12/30/2021","AT&T","AT&T","80.92","debit","Utilities","LIFEGREEN CHECKING F","",""
"12/30/2021","Americano","American Wager William Tn West","100.00","debit","Credit Card Payment","LIFEGREEN CHECKING F","",""
"12/29/2021","C1 WORLD BEAN - EMV","C1 WORLD BEAN - EMV","4.85","debit","Coffee Shops","CREDIT CARD","",""
"12/29/2021","Trader Joe's","TRADER JOE'S #739 QPS","49.60","debit","Groceries","CREDIT CARD","",""
"12/29/2021","ALLIANCEBERNSTEI PAYROLL WEST,","Alliancebernstei","3535.00","credit","Paycheck","LIFEGREEN CHECKING F","",""
"12/29/2021","NES POWER UTILITY CARSON WEST","NES POWER UTILITY CARSON WEST","38.67","debit","Utilities","LIFEGREEN CHECKING F","",""
"12/28/2021","Chipotle","CHIPOTLE 2040","20.81","debit","Restaurants","CREDIT CARD","",""
"12/28/2021","Venmo Cashout","Transfer from Venmo","300.00","credit","Income","LIFEGREEN CHECKING F","",""
"12/28/2021","METRO WATER UT BILL","Metro Water Ut Bill Carson Wes","21.63","debit","Utilities","LIFEGREEN CHECKING F","",""
"12/28/2021","ETSY INC DEPOSIT","Etsy","2.30","credit","Freelancing","LIFEGREEN CHECKING F","",""
"12/28/2021","MEDIUM MONTHLY 5968","Medium Monthly Httpsmedium Cam","5.00","debit","Subscriptions","LIFEGREEN CHECKING F","",""
"12/27/2021","Amazon","Amazon","15.28","debit","Home Improvement","LIFEGREEN CHECKING F","",""
"12/26/2021","Barista Parlor","TST* Barista Parlor - Nas","12.98","debit","Restaurants","CREDIT CARD","",""
"12/26/2021","Barista Parlor","TST* Barista Parlor - Nas","3.82","debit","Restaurants","CREDIT CARD","",""
"12/24/2021","Chipotle","CHIPOTLE 2040","8.30","debit","Restaurants","CREDIT CARD","",""
"12/24/2021","ULTA","ULTA #1610","100.00","debit","Gift","CREDIT CARD","",""
"12/24/2021","Target","TARGET        00001461","160.90","debit","Gift","CREDIT CARD","",""
"12/24/2021"," Purchase","PayPal Purchase","10.00","debit","Home Improvement","LIFEGREEN CHECKING F","",""
"12/24/2021"," Purchase","PayPal Purchase","50.00","debit","Home Improvement","LIFEGREEN CHECKING F","",""
"12/24/2021","Forty Ten Barber Studio Nashvi","Forty Ten Barber Studio Nashvi","50.00","debit","Hair","LIFEGREEN CHECKING F","",""
"12/23/2021","Jos. A. Bank","JOSABANK CLOTHIERS 038","62.82","debit","Clothing","CREDIT CARD","",""
"12/23/2021","J.Crew","J CREW #582","17.48","debit","Clothing","CREDIT CARD","",""
"12/23/2021","Cava","CAVA 5TH & BROADWAY","10.92","debit","Restaurants","CREDIT CARD","",""
"12/23/2021","Kroger","KROGER 895","28.40","debit","Groceries","CREDIT CARD","",""
"12/23/2021","Alliancebernstei","Alliancebernstei","1857.36","credit","Income","LIFEGREEN CHECKING F","",""
"12/23/2021","Erie Insurance Group","Erie Insurance","8.75","debit","Home Insurance","LIFEGREEN CHECKING F","",""
"12/23/2021","Erie Insurance Group","Erie Insurance","56.92","debit","Home Insurance","LIFEGREEN CHECKING F","",""
"12/23/2021","Healthwarehousecom Kyhealthwar","Healthwarehousecom Kyhealthwar","18.00","debit","Pharmacy","LIFEGREEN CHECKING F","",""
"12/22/2021","Cava","CAVA 5TH & BROADWAY","10.92","debit","Fast Food","CREDIT CARD","",""
"12/22/2021","CHASE CREDIT CRD EPAY CARSON W","Chase Credit Card","440.72","debit","Credit Card Payment","LIFEGREEN CHECKING F","",""
"12/22/2021","FIRSTWE 7399 402-935-7","Firstwestve","1.10","debit","Restaurants","LIFEGREEN CHECKING F","",""
"12/21/2021","Payment Thank You - Web","Payment Thank You - Web","440.72","credit","Credit Card Payment","CREDIT CARD","",""
"12/21/2021","PARAMOUNT+ 4899","Paramount+","5.46","debit","Subscriptions","LIFEGREEN CHECKING F","",""
"12/20/2021","Prime Video","Prime Video","21.89","debit","Fun","LIFEGREEN CHECKING F","",""
"12/20/2021","Uber Eats","UBER   EATS","20.81","debit","Restaurants","CREDIT CARD","",""
"12/19/2021","Uber Eats","UBER   EATS","3.00","debit","Restaurants","CREDIT CARD","",""
"12/19/2021","Home Depot","THE HOME DEPOT 732","151.86","debit","Home Improvement","CREDIT CARD","",""
